diary	(n. [C]) 日記
engaged	(adj.) 已訂婚的
engagement	(n. [C]) 訂婚
scream	vi. 尖叫 n. [C] 尖叫聲
immediately	(adv.) 立刻，馬上
immediate	(adj.) 立即的
familiar	(adj.) 熟悉的，眾所皆知的
origin	(n. [C]) 起源，由來
original	(adj.) 起初的，原先的
custom	(n. [C]) 習俗，風俗
evil	(adj.) 邪惡的 (n. [U]) 邪惡，罪惡
attend	(vt.) 出席，參加
ceremony	(n. [C]) 典禮，儀式
superstition	(n. [C]) 迷信
superstitious	(adj.) 迷信的
belief	(n. [C]) 看法，信念 (n. [U]) 相信，信心
event	(n. [C]) 事件
prevent	(vt.) 預防，阻止
prevention	(n. [U]) 預防，阻止
related	(adj.) 相關的，有關的
relate	(vt.) 使有關聯，把...聯繫起來
relation	(n. [C]) 關係，關聯
regard	(vt.) 認為，視為
regarding	(prep.) 關於
scientific	(adj.) 科學的
scientist	(n. [C]) 科學家
proof	(n. [U]) 證據
prove	(vt.) 證明，證實
actually	(adv.) 事實上，實際上
actual	(adj.) 實際的，確切的
tend	(vi.) 傾向，往往會
tendency	(n. [C]) 傾向
associate	(vt.) 把...聯想在一起
association	(n. [C]) 聯想，聯想物
sneeze	(vi.) 打噴嚏
nowadays	(adv.) 當今，現今
artificial	(adj.) 人造的，人工的
predict	(vt.) 預測，預言
pop the question	求婚
result in	導致
in no way	一點也不
knock on wood	敲木頭(希望留住好運、避免厄運時說的話)
stick to	維持、堅持
bless you	保佑你(對打噴嚏者所說的話)
base sth on sth	以...為基礎
take the place of	代替、頂替
virtue	(n. [C]) 美德
honesty	(n. [U]) 老實，誠實
honest	(adj.) 老實的，誠實的
fellow	(adj.) 同儕的，同類的
policy	(n. [C]) 政策、原則
error	(n. [C]) 錯誤，失誤
admit	(vt.) (不情願地)承認
admission	(n. [C]) 承認
deceive	(vt.) 欺騙，矇騙
irresponsible	(adj.) 不負責任的
responsible	(adj.) 負責...的
responsibility	(n. [C]) 職責，義務
involved	(adj.) 有關的，牽涉在內的
involve	(vt.) 使捲入，牽連
involvement	(n. [U]) 參與，涉入
manage	(vt.) 處理，解決(問題、困難等)、經營，管理
management	(n. [U]) 經營，管理
recently	(adv.) 最近，近來
recent	(adj.) 最近的，近來的
project	(n. [C]) 計畫，方案 (vt.) 計畫，規劃
reveal	(vt.) 透露，洩露
confident	(adj.) 有信心的，有自信的、有把握的
confidence	(n. [U]) 信心，自信
consequence	(n. [C]) 結果，後果
consequent	(adj.) 隨之發生的，由...而起的
convenient	(adj.) 方便的，便利的
convenience	(n. [U]) 方便，便利性
contrast	(n. [U]) 對照，比對(vt.) 使對照
consider	(vt.) 考慮、認為
consideration	(n. [U]) 考慮
reaction	(n. [C]) 反應，回應
react	(vi.) 反應，回應
maintain	(vt.) 保持，維持
maintenance	(n. [U]) 保持，維持
protective	(adj.) 保護的
protect	(vt.) 保護
protection	(n. [U]) 保護
circumstance	(n. [C]) 條件，情況
harm	(n. [U]/vt.) 傷害
determine	(vt.) 決定、查明、確定
determination	(n. [U]) 決意，堅決
specific	(adj.) 特定的
motive	(n. [C]) (背後的)原因，動機
motivate	(vt.) 促使，成為...的動機
expose	(vt.) 揭露，揭穿、使顯露
cover up	掩飾、掩蓋（錯誤）
make up	編造（一個故事或藉口）
save one's face	（給...）留面子
get out of	逃避...，擺脫...
sleep in	晚起，睡懶覺
stay up	熬夜、不睡覺
spare one's feelings	不使某人難過，顧及某人的感受
keep sb out of sth	使(某人)不捲入...，使(某人)不受...的影響
ability	(n. [C]) 能力
heal	(vt.) 癒合，痊癒、治癒
percent	(n. [C]) 百分之一
percentage	(n. [C]) 百分比，百分率
emotion	(n. [C]) 感情，情緒
emotional	(adj.) 情感上的
mental	(adj.) 心智的，心理的
attitude	(n. [U]) 心態，態度
weaken	(vt.) 使衰弱，減弱
focus	(vi.) 集中(注意力等) (n.) 焦點，中心
response	(n. [C]) 回應，反應、回答
respond	(vt.) 回答，答覆
laughter	(n. [U]) 笑，笑聲
claim	(n. [C]/vt.) 聲稱，宣稱
relax	(vi.) 休息，放鬆 (vt.) 使鬆弛，鬆開
relaxation	(n. [U]) 休息，放鬆
muscle	(n. [C]) 肌肉
complicated	(adj.) 複雜的
complicate	(vt.) 使複雜化
equipment	(n. [U]) 設備，器材
equip	(vt.) 配備，裝備
afterward	(adv.) 後來，之後
provide	(vt.) 提供，給予
rate	(n. [C]) 速率
normal	(n. [U]) 正常 (adj.) 正常的
internal	(adj.) 體內的，內心的
production	(n. [U]) 製造、(自然)產生
produce	(vt.) (自然地)產生
product	(n. [C]) 產品
comedy	(n. [C]) 喜劇
comedian	(n. [C]) 喜劇演員
include	(vt.) 使成為...的一部分；(vt.) 包括，包含
including	(prep.) 包括，包含
pain	(n. [U]) (身體的)疼痛
painful	(adj.) 令人疼痛的，引起痛苦的
reduction	(n. [U]) 降低，減少
reduce	(vt.) 降低，減少
fight off	擊退...，克服...
on the other hand	另一方面
back up	支持、證實
first of all	第一、首先
up to	至多可達
refer to A as B	把A稱作B
enthusiastic	(adj.) 熱心的，深具熱忱的
enthusiasm	(n. [U]) 熱心，熱忱
concept	(n. [C]) 觀念，概念
colony	(n. [C]) 殖民地
colonial	(adj.) 殖民地的，殖民的
politician	(n. [C]) 政治人物，從政者
politics	(n. [U]) 政治，政治學
political	(adj.) 政治的，政治上的
rural	(adj.) 鄉村的，田園的
society	(n. [U]) 社會
social	(adj.) 社會的
remain	(vi.) 保持不變，依然是
litter	(n. [U]) 垃圾，廢棄物 (vt.) 亂丟垃圾
trail	(n. [C]) 小路，小道
achievement	(n. [U]) 成就，實現
achieve	(vt.) 實現，達成
valuable	(adj.) 很有用的，很重要的、有價值的
value	(n. [U]) 重要性
moreover	(adv.) 此外，而且
degree	(n. [C]) 程度、(大學)學位
sort	(vt.) 將...分類 (n. [C]) 種類，類別
funds	(n.) 資金，現款
fund	(n. [C]) 基金 (vt.) 為(活動、組織等)提供資金，資助
worthless	(adj.) 沒有價值的，沒用的
gain	(vt.) 獲得、增加
advantage	(n. [C]) 優勢，有利條件、優點
handle	(vt.) 應付，處理
career	(n.) [C] 事業
pursue	(vt.) 追求，從事
pursuit	(n. [U]) 追求
benefit	(n. [C]) 益處，優勢 (vt.) 使受益，使得利
beneficial	(adj.) 有利的，有幫助的
absolutely	(adv.) 絕對地，完全地
absolute	(adj.) 十足的，完全的
explore	(vt.) 探索，探究
pay off	成功、有所回報
set up	設立；建立
depend on	依賴、取決於
take part in	參加
pick up	撿起；開車接人
let us say	比方說，例如
look for	尋找
have nothing to do with	與...無關
artist	藝術家
century	世紀
international	國際的
attention	注意、關注
various	各式各樣的、不同的
proof	證據、證明
dine	用餐、吃飯
personality	個性、性格
peacefully	和平地、平靜地
friendship	友情、友誼
treasure	寶藏、有價值的人
toss	扔、擲、拋
sauce	醬汁
pity	可惜的事、憐憫、同情
manage	控制、管理
pickle	醃漬
roast	烘烤
simply	僅僅、簡單地
consider	考慮、認為
mood	情緒、心情
global	全球的
commercial	商業的、商業化的、電視廣告
stable	穩定的
profit	收益、利潤
tablet	平板電腦
shrimp	蝦子
cabbage	高麗菜、甘藍菜
suggest	建議、提議
survival	生存、求生
activity	活動
situation	情況、處境
temperature	溫度
arrange	排列、安排、整理
calm	冷靜的、鎮定的
suck	吸吮、抽取
risk	危險、風險
threat	威脅、構成威脅的事物
panic	驚慌
collect	收集、領取、接走
plastic	塑膠的、塑膠製品
originally	起初、原本
product	產品
charge	要價、向...收費
male	男性、男子
variety	多樣性、變化、各式各樣
environmentally	有關環境地、環保地
constantly	持續地 經常地
odd	奇特的、新奇的
